home_team,away_team,home_win_prob,away_win_prob
ATL,BOS,0.65,0.35
ATL,BKN,0.72,0.28
ATL,CHA,0.78,0.22
ATL,CHI,0.67,0.33
ATL,CLE,0.74,0.26
ATL,DAL,0.66,0.34
ATL,DEN,0.62,0.38
ATL,DET,0.78,0.22
ATL,GSW,0.59,0.41
ATL,HOU,0.69,0.31
ATL,IND,0.71,0.29
ATL,LAC,0.65,0.35
ATL,LAL,0.68,0.32
ATL,MEM,0.72,0.28
ATL,MIA,0.68,0.32
ATL,MIL,0.68,0.32
ATL,MIN,0.67,0.33
ATL,NOP,0.7,0.3
ATL,NYK,0.74,0.26
ATL,OKC,0.69,0.31
ATL,ORL,0.73,0.27
ATL,PHI,0.73,0.27
ATL,PHX,0.55,0.45
ATL,POR,0.72,0.28
ATL,SAC,0.7,0.3
ATL,SAS,0.62,0.38
ATL,TOR,0.7,0.3
ATL,UTA,0.65,0.35
ATL,WAS,0.74,0.26
BOS,ATL,0.75,0.25
BOS,BKN,0.74,0.26
BOS,CHA,0.8,0.2
BOS,CHI,0.7,0.3
BOS,CLE,0.77,0.23
BOS,DAL,0.7,0.3
BOS,DEN,0.65,0.35
BOS,DET,0.81,0.19
BOS,GSW,0.63,0.37
BOS,HOU,0.72,0.28
BOS,IND,0.74,0.26
BOS,LAC,0.68,0.32
BOS,LAL,0.71,0.29
BOS,MEM,0.74,0.26
BOS,MIA,0.71,0.29
BOS,MIL,0.71,0.29
BOS,MIN,0.7,0.3
BOS,NOP,0.73,0.27
BOS,NYK,0.77,0.23
BOS,OKC,0.72,0.28
BOS,ORL,0.75,0.25
BOS,PHI,0.75,0.25
BOS,PHX,0.59,0.41
BOS,POR,0.75,0.25
BOS,SAC,0.73,0.27
BOS,SAS,0.65,0.35
BOS,TOR,0.73,0.27
BOS,UTA,0.68,0.32
BOS,WAS,0.76,0.24
BKN,ATL,0.66,0.34
BKN,BOS,0.58,0.42
BKN,CHA,0.72,0.28
BKN,CHI,0.6,0.4
BKN,CLE,0.68,0.32
BKN,DAL,0.6,0.4
BKN,DEN,0.55,0.45
BKN,DET,0.73,0.27
BKN,GSW,0.52,0.48
BKN,HOU,0.63,0.37
BKN,IND,0.64,0.36
BKN,LAC,0.58,0.42
BKN,LAL,0.61,0.39
BKN,MEM,0.65,0.35
BKN,MIA,0.62,0.38
BKN,MIL,0.62,0.38
BKN,MIN,0.6,0.4
BKN,NOP,0.63,0.37
BKN,NYK,0.68,0.32
BKN,OKC,0.62,0.38
BKN,ORL,0.67,0.33
BKN,PHI,0.66,0.34
BKN,PHX,0.48,0.52
BKN,POR,0.66,0.34
BKN,SAC,0.63,0.37
BKN,SAS,0.55,0.45
BKN,TOR,0.63,0.37
BKN,UTA,0.58,0.42
BKN,WAS,0.68,0.32
CHA,ATL,0.6,0.4
CHA,BOS,0.51,0.49
CHA,BKN,0.59,0.41
CHA,CHI,0.54,0.46
CHA,CLE,0.62,0.38
CHA,DAL,0.53,0.47
CHA,DEN,0.48,0.52
CHA,DET,0.67,0.33
CHA,GSW,0.45,0.55
CHA,HOU,0.56,0.44
CHA,IND,0.58,0.42
CHA,LAC,0.51,0.49
CHA,LAL,0.54,0.46
CHA,MEM,0.59,0.41
CHA,MIA,0.55,0.45
CHA,MIL,0.55,0.45
CHA,MIN,0.53,0.47
CHA,NOP,0.57,0.43
CHA,NYK,0.62,0.38
CHA,OKC,0.56,0.44
CHA,ORL,0.6,0.4
CHA,PHI,0.6,0.4
CHA,PHX,0.41,0.59
CHA,POR,0.6,0.4
